lowBeta highBeta attention velocity
8233 25925 51 9,95 
11679 10893 80 9,95 
7544 8748 87 9,95 
8414 10212 80 14,60002 
14463 12267 75 10,1 
12271 10570 60 11,96004 
3998 20253 67 9,95 
8021 17394 91 11,82004 
2625 3352 77 16,27005 
28341 15238 64 18,1101 
13891 8928 66 19,89014 
6057 14436 67 21,79018 
19149 25876 75 23,79023 
2033 1854 83 25,59027 
1416 5161 74 30,05 
7535 14114 61 10 
5095 12431 69 11,18003 
9375 10165 63 13,10007 
2663 11034 66 14,90011 
2767 17942 81 16,60015 
17818 18246 77 20,85009 
8310 10486 88 22,55013 
2361 3198 78 27,05006 
10570 40369 70 10 
20284 18865 66 10,84002 
5384 12902 66 12,52006 
11044 4219 63 14,3201 
20173 14538 56 16,02014 
24502 19956 41 12,07012 
8335 18731 38 9,95 
5245 12504 48 9,95 
25231 26996 37 9,95 
3394 24238 64 9,95 
41810 34635 57 11,54004 
16287 34105 69 9,95 
14624 4885 69 0,02 
8327 14014 61 0,02 
13857 28636 67 0,02 
14334 13229 64 0,02 
73464 18816 69 0,02 
3478 27037 70 0,02 
24088 15002 60 0,02 
6027 9007 40 0,02 
7861 19452 41 0,02 
5974 3493 24 0,02 
3601 24165 41 0,02 
15381 9154 60 0,02 
7722 13964 57 0,02 
7819 3201 60 0,02 
203266 59241 57 10 
5804 4105 60 9,95 
7780 32145 81 9,95 
68052 111066 77 12,00001 
16373 7252 74 12,72002 
8304 38725 83 14,42006 
22919 19494 74 19,22002 
18339 23384 67 21,02006 
8718 20617 88 22,9201 
9036 42120 96 27,42004 
25620 33597 100 10 
7043 4566 100 12,55001 
3200 8530 90 17,05001 
676 3862 80 21,94993 
1945 37798 84 17,45 
7291 34245 100 22,44992 
1475 13619 100 26,94986 
4597 19936 97 11,05 
31092 36796 84 15,65002 
6130 9150 84 20,54995 
2826 13620 83 25,04988 
1675 3557 75 29,79981 
18461 15033 66 30,02 
3613 3650 50 0,02 
5469 4024 30 10 
12977 17309 48 9,95 
2404 5626 40 9,95 
38703 14143 37 9,95 
237403 72735 41 9,95 
9090 5326 30 10 
9775 30293 47 9,95 
8351 20679 51 9,95 
19876 19573 60 9,95 
2039 1890 57 9,95 
22487 31859 47 9,95 
24079 17481 40 9,95 
8455 10835 34 9,95 
18104 55285 56 9,95 
11524 18921 53 9,95 
11567 5456 51 9,95 
3894 4956 54 9,95 
16108 13856 27 9,95 
22001 26582 37 10 
196033 101580 27 9,95 
4143 1585 27 9,95 
9097 4283 14 9,95 
4638 33305 34 9,95 
5036 8684 48 9,95 
4190 11435 67 9,95 
8521 8892 75 11,84004 
6492 24535 81 13,66008 
14042 11962 81 18,46005 
7651 18009 81 22,70999 
10749 6897 69 27,45992 
7845 53890 66 30,02 
9730 8002 69 30,02 
10708 47741 93 30,02 
11184 15515 81 30,05 
2705 6925 70 30,05 
11536 19649 74 10 
9916 3707 54 10,72002 
15194 18814 38 9,95 
7158 7588 44 9,95 
9487 11935 37 9,95 
13761 13667 44 9,95 
4965 4899 51 9,95 
9175 5103 38 9,95 
12071 10640 43 9,95 
21415 18349 47 9,95 
15463 14423 44 9,95 
4674 10245 60 9,95 
2025 19793 69 9,95 
3329 14384 74 11,52003 
4477 6925 90 13,02007 
5051 10069 87 17,27006 
1683 9014 74 25,36994 
9033 17065 66 27,06998 
12874 5928 61 28,65001 
8036 15068 74 30,02 
22263 24110 66 0,02 
7309 2606 51 0,02 
39651 13553 38 10 
640 1844 30 9,95 
33529 8629 29 9,95 
39279 25700 27 9,95 
6158 1934 67 10 
1560 2972 88 9,95 
14291 17438 100 14,50002 
3874 818 91 19,04998 
32069 16184 88 23,8499 
1743 1611 83 28,39983 
8894 4930 77 30,05 
27117 4977 88 30,02 
37003 31018 97 30,05 
43382 14643 83 30,05 
4081 7077 61 10 
3884 8813 77 9,95 
7855 10453 91 11,84004 
2709 12328 100 16,34005 
1986 2561 100 20,58999 
283 6639 97 24,58993 
9248 13247 50 10 
65316 14876 44 9,95 
16023 16207 51 9,95 
35229 33584 64 10 
43618 24770 67 9,95 
20922 12094 51 11,90004 
35224 26680 43 9,95 
8805 9312 50 9,95 
27741 17879 48 9,95 
15923 31641 63 9,95 
6422 3194 35 10 
8642 13041 38 9,95 
27476 21057 44 9,95 
3530 3483 47 9,95 
23736 45076 56 9,95 
27546 7406 43 10 
7848 2647 35 9,95 
2442 2124 20 9,95 
36111 27442 21 9,95 
3163 6205 38 9,95 
61357 54753 48 9,95 
11101 5746 51 9,95 
18198 26894 51 9,95 
56619 29448 63 10 
8257 16645 69 9,95 
11995 12360 75 11,80004 
31301 15181 75 13,80009 
45555 26177 66 17,52017 
12476 15499 51 19,34021 
1239 1638 43 14,74026 
30749 44429 37 10,19024 
154357 59844 37 9,95 
8215 2532 37 9,95 
83124 26484 37 9,95 
58220 36833 37 9,95 
2787 2201 34 9,95 
23145 8443 38 9,95 
6633 1322 38 9,95 
23001 14765 37 9,95 
31908 26429 37 9,95 
3081 6038 37 9,95 
83476 44277 50 9,95 
27625 31414 56 9,95 
10109 14535 56 9,95 
48849 110378 70 10 
63415 17968 70 15,90014 
24857 25889 64 16,70015 
12232 23841 53 18,26019 
28766 41082 50 16,41022 
67035 22567 51 14,31022 
8034 5990 48 11,31021 
137857 55166 54 9,95 
13117 3406 43 9,95 
20305 24909 40 9,95 
86686 112959 44 9,95 
7169 8041 38 9,95 
1436 2114 35 9,95 
11331 10243 38 9,95 
10492 3852 35 9,95 
10213 7069 48 9,95 
12231 8050 54 9,95 
7834 2452 51 9,95 
3600 1787 50 9,95 
17018 3891 40 9,95 
16841 23753 53 9,95 
6349 4559 60 9,95 
18755 3389 60 9,95 
54558 18561 63 9,95 
14396 6696 53 11,66004 
14966 6373 63 9,95 
30030 52868 75 11,70004 
68101 26961 75 10 
7882 11586 74 10,54001 
79530 37098 56 12,26005 
9457 7607 43 9,95 
15381 14557 50 9,95 
20533 8566 48 9,95 
20374 29540 63 9,95 
20676 12966 67 11,64004 
35218 7926 64 13,30008 
3065 1423 48 14,84011 
1833 1444 29 10,7901 
6917 5367 40 9,95 
7500 9025 44 9,95 
14229 7500 60 9,95 
10132 4942 57 9,95 
3223 4225 50 9,95 
20707 12916 37 9,95 
15789 3729 27 9,95 
4581 3615 44 9,95 
14207 6627 41 9,95 
4666 6010 54 9,95 
6785 5426 53 9,95 
6419 2945 41 9,95 
3124 9369 57 9,95 
4015 3211 47 9,95 
15003 16510 77 0,02 
18945 5341 66 0,02 
19715 10367 83 0,02 
8343 7543 74 0,02 
19848 3292 50 0,02 
19848 3292 50 0,02 
3275 7337 56 0,02 
3275 7337 56 0,02 
41521 8804 43 0,02 
41521 8804 43 0,02 
14714 11920 64 0,02 
14714 11920 64 0,02 
3974 10201 78 9,95 
6708 4294 75 11,52003 
8187 8105 78 13,10007 
3749 4280 75 14,68011 
6102 7322 67 16,14014 
3999 3381 56 17,66018 
87402 88114 63 13,61019 
54827 46882 63 15,11023 
12721 18273 63 16,59026 
438384 159113 63 18,1903 
2186 1240 63 19,67033 
0 1 63 21,23037 
301558 261308 63 22,8704 
70020 45160 0 30,02 
62895 13653 0 10 
5196 1262 0 9,95 
3833 12569 0 9,95 
1658 459 0 9,95 
6649 13869 0 9,95 
29359 13912 41 9,95 
5704 3725 35 9,95 
9981 7121 30 9,95 
9268 5647 14 9,95 
4954 3933 21 9,95 
7695 3053 23 9,95 
